image_id,angle,speed
0_90_35.png,0.5,1.0
100_105_35.png,0.6875,1.0
101_105_35.png,0.6875,1.0
102_115_35.png,0.8125,1.0
103_105_35.png,0.6875,1.0
104_110_35.png,0.75,1.0
105_100_35.png,0.625,1.0
106_80_35.png,0.375,1.0
107_95_35.png,0.5625,1.0
108_95_35.png,0.5625,1.0
109_90_35.png,0.5,1.0
10_70_35.png,0.25,1.0
110_80_35.png,0.375,1.0
111_85_35.png,0.4375,1.0
112_85_35.png,0.4375,1.0
113_105_35.png,0.6875,1.0
114_100_35.png,0.625,1.0
115_105_35.png,0.6875,1.0
116_105_35.png,0.6875,1.0
117_115_35.png,0.8125,1.0
118_100_35.png,0.625,1.0
119_100_35.png,0.625,1.0
11_70_35.png,0.25,1.0
120_110_35.png,0.75,1.0
121_110_35.png,0.75,1.0
122_105_35.png,0.6875,1.0
123_110_35.png,0.75,1.0
124_105_35.png,0.6875,1.0
125_95_35.png,0.5625,1.0
126_100_35.png,0.625,1.0
127_90_35.png,0.5,1.0
128_90_35.png,0.5,1.0
129_85_35.png,0.4375,1.0
12_55_35.png,0.0625,1.0
130_85_35.png,0.4375,1.0
131_90_35.png,0.5,1.0
132_90_35.png,0.5,1.0
133_90_35.png,0.5,1.0
134_90_35.png,0.5,1.0
135_90_35.png,0.5,1.0
136_90_35.png,0.5,1.0
137_100_35.png,0.625,1.0
138_90_35.png,0.5,1.0
139_85_35.png,0.4375,1.0
13_50_35.png,0.0,1.0
140_85_35.png,0.4375,1.0
141_90_35.png,0.5,1.0
142_85_35.png,0.4375,1.0
143_75_35.png,0.3125,1.0
144_60_35.png,0.125,1.0
145_50_35.png,0.0,1.0
146_50_35.png,0.0,1.0
147_90_35.png,0.5,1.0
148_65_35.png,0.1875,1.0
149_75_35.png,0.3125,1.0
14_70_35.png,0.25,1.0
150_65_35.png,0.1875,1.0
151_75_35.png,0.3125,1.0
152_70_35.png,0.25,1.0
153_80_35.png,0.375,1.0
154_100_35.png,0.625,1.0
155_90_35.png,0.5,1.0
156_90_35.png,0.5,1.0
157_90_35.png,0.5,1.0
158_80_35.png,0.375,1.0
159_75_35.png,0.3125,1.0
15_90_35.png,0.5,1.0
160_85_35.png,0.4375,1.0
161_75_35.png,0.3125,1.0
162_90_35.png,0.5,1.0
163_75_35.png,0.3125,1.0
164_50_35.png,0.0,1.0
165_55_35.png,0.0625,1.0
166_55_35.png,0.0625,1.0
167_75_35.png,0.3125,1.0
168_65_35.png,0.1875,1.0
169_85_35.png,0.4375,1.0
16_90_35.png,0.5,1.0
170_70_35.png,0.25,1.0
171_70_35.png,0.25,1.0
172_100_35.png,0.625,1.0
173_90_35.png,0.5,1.0
174_80_35.png,0.375,1.0
175_85_35.png,0.4375,1.0
176_85_35.png,0.4375,1.0
177_85_35.png,0.4375,1.0
178_95_35.png,0.5625,1.0
179_95_35.png,0.5625,1.0
17_90_35.png,0.5,1.0
180_95_35.png,0.5625,1.0
181_85_35.png,0.4375,1.0
